UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
117867,9882,4775,2194,7688,8,3,78,3,3,0,0,1,6,1,60,9,9882,1765,544,6187,1386,2194,883,103,1199,9,7688,882,441,4988,1377,8,3,78,3,3,0,0,1,6,1,60,0,0,0,,,,,,,,,,,,2937,2937,0,398,398,0,2539,2539,0,15,54,30,1,1625,0,133,7,92,0,8,0,15,16,70,15,16,70,,,
117894,9747,5340,3113,6634,24,14,42,11,10,1,0,8,0,0,56,9,9747,1580,827,6170,1170,3113,849,212,2031,21,6634,731,615,4139,1149,24,14,42,11,10,1,0,8,0,0,56,0,0,0,,,,,,,,,,,,2845,2845,0,521,521,0,2324,2324,0,8,62,29,0,1528,0,11,41,97,0,1,3,8,14,78,8,14,78,,,
117946,9838,9168,8750,1088,43,7,24,10,10,0,0,6,0,10,58,23,6700,1512,469,4576,143,6466,1510,461,4429,66,234,2,8,147,77,44,7,22,10,10,0,0,7,0,10,55,3138,2284,854,40,7,28,10,10,0,0,4,1,9,62,2086,181,1905,1532,123,1409,554,58,496,2,96,3,0,822,535,143,12,54,35,9,1,0,5,94,0,2,98,2,14,85
117955,199,199,199,0,25,4,67,2,2,1,0,2,2,0,73,28,199,56,0,143,0,199,56,0,143,0,0,0,0,0,0,25,4,67,2,2,1,0,2,2,0,73,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,55,1,0,0,98,2,0,0,0,0,100,0,0,100,,,
118134,75,56,44,31,17,11,64,1,1,0,0,1,5,0,96,7,75,7,0,68,0,44,5,0,39,0,31,2,0,29,0,17,11,64,1,1,0,0,1,5,0,96,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
118143,67,47,34,33,27,7,52,6,4,1,0,6,1,0,91,3,67,4,0,63,0,34,2,0,32,0,33,2,0,31,0,27,7,52,6,4,1,0,6,1,0,91,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
118161,110,110,110,0,57,0,32,5,4,1,5,1,1,0,95,19,110,21,0,89,0,110,21,0,89,0,0,0,0,0,0,57,0,32,5,4,1,5,1,1,0,95,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,21,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
118189,80,80,80,0,33,19,30,19,19,0,0,0,0,0,93,91,80,73,0,7,0,80,73,0,7,0,0,0,0,0,0,33,19,30,19,19,0,0,0,0,0,93,0,0,0,,,,,,,,,,,,45,45,0,45,45,0,0,0,0,0,38,62,0,73,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
118198,787,787,787,0,44,11,28,9,9,0,1,5,1,0,79,8,787,63,117,607,0,787,63,117,607,0,0,0,0,0,0,44,11,28,9,9,0,1,5,1,0,79,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,59,0,0,4,94,0,0,6,2,0,98,2,0,98,,,
118347,5026,2581,1345,3681,49,3,31,8,8,0,0,6,1,1,58,6,5026,629,369,3084,944,1345,300,115,906,24,3681,329,254,2178,920,49,3,31,8,8,0,0,6,1,1,58,0,0,0,,,,,,,,,,,,2069,2069,0,283,283,0,1786,1786,0,9,44,41,5,626,1,0,2,100,0,0,0,3,9,88,3,9,88,,,
118541,761,746,737,24,22,7,40,5,5,0,0,3,4,19,49,21,735,151,84,500,0,721,151,83,487,0,14,0,1,13,0,22,7,40,5,5,0,0,3,4,18,49,26,16,10,12,15,38,4,4,0,0,0,4,27,54,,,,,,,,,,,,,,103,18,30,0,68,12,20,0,1,40,59,1,41,59,15,12,73
118684,3898,1987,1021,2877,53,2,34,3,2,0,6,2,1,0,62,4,3898,352,245,2409,892,1021,151,69,784,17,2877,201,176,1625,875,53,2,34,3,2,0,6,2,1,0,62,0,0,0,,,,,,,,,,,,1471,1471,0,294,294,0,1177,1177,0,17,40,38,5,331,0,4,17,94,0,1,5,16,21,63,16,21,63,,,
118693,775,742,720,55,25,6,25,10,8,3,0,8,5,21,43,20,775,157,76,473,69,720,157,74,463,26,55,0,2,10,43,25,6,25,10,8,3,0,8,5,21,43,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,92,42,19,4,59,27,12,3,0,0,100,0,0,100,,,
118718,10995,6842,4743,6252,18,3,55,9,9,0,0,3,11,1,59,11,10995,1938,637,7298,1122,4743,1264,211,3207,61,6252,674,426,4091,1061,18,3,55,9,9,0,0,3,11,1,59,0,0,0,,,,,,,,,,,,3534,3534,0,862,862,0,2672,2672,0,7,61,32,0,1851,0,30,57,96,0,2,3,5,21,75,5,21,75,,,
118772,7453,3582,1626,5827,15,24,34,19,18,0,0,6,3,0,65,3,7453,680,1404,3858,1511,1626,220,254,1008,144,5827,460,1150,2850,1367,15,24,34,19,18,0,0,6,3,0,65,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,580,0,74,26,85,0,11,4,27,15,58,27,15,58,,,
118888,1257,1143,1072,185,40,12,25,9,9,0,1,8,3,3,91,20,768,160,110,487,11,734,157,107,466,4,34,3,3,21,7,36,11,30,9,9,0,1,9,3,2,100,489,338,151,45,13,18,9,9,0,1,7,3,5,77,490,116,374,340,107,233,150,9,141,2,82,15,0,118,30,1,11,74,19,1,7,0,0,100,0,0,100,0,0,100
118912,13720,8556,5062,8658,39,3,40,7,6,0,0,7,2,1,58,10,13720,2162,1401,9397,760,5062,1310,469,3256,27,8658,852,932,6141,733,39,3,40,7,6,0,0,7,2,1,58,0,0,0,,,,,,,,,,,,4902,4902,0,1067,1067,0,3835,3835,0,4,59,36,1,2035,0,78,49,94,0,4,2,20,28,52,20,28,52,,,
118930,7780,3875,1902,5878,16,4,29,43,43,0,0,5,1,3,54,5,7780,994,1009,4449,1328,1902,408,110,1276,108,5878,586,899,3173,1220,16,4,29,43,43,0,0,5,1,3,54,0,0,0,,,,,,,,,,,,3801,3801,0,533,533,0,3268,3268,0,6,44,49,1,938,5,50,1,94,1,5,0,14,21,65,14,21,65,,,
118958,50,36,27,23,10,2,76,0,0,0,0,0,2,10,78,14,50,10,0,40,0,27,7,0,20,0,23,3,0,20,0,10,2,76,0,0,0,0,0,2,10,78,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
118976,17908,10585,5630,12278,35,3,52,7,6,1,1,0,1,0,60,8,17908,3167,1095,12191,1455,5630,1477,340,3694,119,12278,1690,755,8497,1336,35,3,52,7,6,1,1,0,1,0,60,0,0,0,,,,,,,,,,,,5894,5894,0,1022,1022,0,4872,4872,0,3,63,33,0,3121,0,5,41,99,0,0,1,14,29,57,14,29,57,,,
118994,273,273,273,0,4,41,12,4,3,1,0,1,36,0,32,18,273,48,0,225,0,273,48,0,225,0,0,0,0,0,0,4,41,12,4,3,1,0,1,36,0,32,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,48,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
119058,670,622,593,77,40,3,9,7,7,0,0,3,6,31,67,0,5,0,2,3,0,4,0,2,2,0,1,0,0,1,0,60,0,20,0,0,0,0,0,0,20,60,665,589,76,39,3,9,7,7,0,0,3,6,32,67,,,,,,,,,,,,,,,,,,,,,,0,0,100,0,0,100,0,0,100
119067,8017,4247,2342,5675,33,3,45,9,8,1,0,6,3,0,54,7,8017,1015,912,5000,1090,2342,545,254,1501,42,5675,470,658,3499,1048,33,3,45,9,8,1,0,6,3,0,54,0,0,0,,,,,,,,,,,,3207,3207,0,502,502,0,2705,2705,0,9,48,40,3,933,0,22,60,92,0,2,6,10,21,69,10,21,69,,,
119137,14357,8535,5593,8764,48,2,36,8,8,0,0,5,1,1,53,12,14357,2609,1308,9365,1075,5593,1675,319,3585,14,8764,934,989,5780,1061,48,2,36,8,8,0,0,5,1,1,53,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2571,11,0,27,99,0,0,1,13,22,65,13,22,65,,,
119164,29346,16653,10238,19108,10,4,64,18,17,0,0,3,0,2,53,9,29346,4704,1971,20027,2644,10238,2758,627,6682,171,19108,1946,1344,13345,2473,10,4,64,18,17,0,0,3,0,2,53,0,0,0,,,,,,,,,,,,9003,9003,0,1905,1905,0,7098,7098,0,4,65,31,0,4534,32,129,9,96,1,3,0,4,13,83,4,13,83,,,
119173,2965,2609,2380,585,10,7,59,15,15,1,0,2,7,0,91,17,2356,405,233,1711,7,1866,401,181,1284,0,490,4,52,427,7,8,6,61,17,16,1,0,2,6,0,94,609,514,95,19,7,50,10,9,1,0,2,12,0,80,,,,,,,,,,,,,,392,12,0,1,97,3,0,0,5,30,65,6,36,58,3,6,92
119216,15751,8939,5496,10255,28,6,52,6,6,0,0,6,1,0,59,10,15751,3281,1305,10117,1048,5496,1547,456,3407,86,10255,1734,849,6710,962,28,6,52,6,6,0,0,6,1,0,59,0,0,0,,,,,,,,,,,,5140,5140,0,1222,1222,0,3918,3918,0,5,62,33,0,3142,1,129,9,96,0,4,0,0,0,100,0,0,100,,,
119270,1105,932,820,285,22,6,11,6,5,0,0,6,9,40,27,16,1105,196,119,677,113,820,179,105,532,4,285,17,14,145,109,22,6,11,6,5,0,0,6,9,40,27,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,55,49,74,18,28,25,38,9,0,0,100,0,0,100,,,
119331,5503,3180,2006,3497,28,5,46,13,13,0,0,6,1,0,56,9,5503,856,332,3699,616,2006,479,88,1325,114,3497,377,244,2374,502,28,5,46,13,13,0,0,6,1,0,56,0,0,0,,,,,,,,,,,,1617,1617,0,318,318,0,1299,1299,0,3,66,29,2,830,0,7,19,97,0,1,2,8,19,72,8,19,72,,,
119553,1115,1090,1073,42,37,10,23,11,10,1,1,13,5,0,67,26,1115,290,0,825,0,1073,290,0,783,0,42,0,0,42,0,37,10,23,11,10,1,1,13,5,0,67,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,288,2,0,0,99,1,0,0,0,0,100,0,0,100,,,
119605,16930,11485,8034,8896,36,9,28,9,8,1,0,5,12,1,63,0,7735,18,3315,3764,638,2884,3,1118,1720,43,4851,15,2197,2044,595,34,10,26,10,9,1,0,6,12,2,57,9195,5150,4045,38,8,29,8,7,1,0,4,12,1,68,14754,6252,8502,7113,2407,4706,7641,3845,3796,0,19,81,0,17,0,1,0,94,0,6,0,45,16,39,40,22,38,49,11,40
119678,2737,1930,1473,1264,67,6,8,7,7,0,0,0,7,5,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2737,1473,1264,67,6,8,7,7,0,0,0,7,5,20,,,,,,,,,,,,,,,,,,,,,,46,0,54,,,,46,0,54
119775,537,492,464,73,26,4,27,7,7,0,0,3,4,29,36,5,402,22,55,325,0,368,21,52,295,0,34,1,3,30,0,23,2,30,7,7,0,0,2,4,33,36,135,96,39,37,9,19,10,10,0,0,5,4,16,35,,,,,,,,,,,,,,19,2,0,1,86,9,0,5,10,1,90,0,1,99,39,0,61
119845,110,89,76,34,34,13,53,0,0,0,0,0,0,1,75,10,110,15,0,95,0,76,11,0,65,0,34,4,0,30,0,34,13,53,0,0,0,0,0,0,1,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,15,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
119951,209,209,209,0,22,14,48,9,9,0,0,8,0,0,86,18,209,38,0,171,0,209,38,0,171,0,0,0,0,0,0,22,14,48,9,9,0,0,8,0,0,86,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,38,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
120069,269,269,269,0,8,6,75,6,2,3,0,4,1,0,89,82,269,221,0,48,0,269,221,0,48,0,0,0,0,0,0,8,6,75,6,2,3,0,4,1,0,89,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,221,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
120078,658,658,658,0,7,2,80,8,7,1,0,1,2,0,84,25,658,164,12,482,0,658,164,12,482,0,0,0,0,0,0,7,2,80,8,7,1,0,1,2,0,84,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,162,0,0,2,99,0,0,1,7,0,93,7,0,93,,,
